Reference,Quantity,Value,Footprint,MPN,Supplier,Supplier Part Number,Supplier URL,Unit Cost TL,Subtotal TL,Role
Q1-Q4,4,IRFB4110 (per module — replaces IRFZ44N from v3.2 BOM),TO-220,IRFB4110,Motorobit,TBD,https://www.motorobit.com/,TBD,TBD,"H-bridge power switch. Substituted for IRFZ44N at order time — see CHANGELOG/build-guide §4."
U1-U4,4,TLP250 isolated gate driver,DIP-8,TLP250,Motorobit,TLP250,https://www.motorobit.com/tlp250-dip-8-optocoupler-ic-with-mosfet-driver-output,40.0,160.0,"One per MOSFET — true galvanic isolation (2.5 kV); mandatory for CHB floating bridge."
U5-U6,2,B0515S-1WR3 5V→15V isolated DC-DC,SIP-4,B0515S-1WR3,Motorobit,B0515S-1WR3,https://www.motorobit.com/b0515s-1wr3-dc-dc-1w-45-55v-input-15v-output-voltage-converter,78.0,156.0,"Isolated 15 V rail for the TLP250s (two in parallel per bridge)."
D1,1,1N5408 3A 1000V rectifier,DO-201,1N5408,Direnc.net,1N5408,https://www.direnc.net/1n5408-do201-3a-1000v-diyot,2.5,2.5,Reverse-polarity protection at the DC input.
D2-D5,4,UF4007 1A 1000V 75ns fast diode,DO-41,UF4007,Direnc.net,UF4007,https://www.direnc.net/uf4007-1a-1000v-tht-hizli-diyot-do41,2.2,8.8,Bootstrap diode (one per high-side channel).
D6,1,1.5KE62A TVS diode (84.5 V clamp),DO-201,1.5KE62A,Motorobit,1.5KE62A,https://www.motorobit.com/transil-diyot,10.0,10.0,Transient-voltage clamp on the DC bus.
U7,1,ACS712-20A current sensor module,Module,ACS712-20A,Motorobit,ACS712-20A,https://www.motorobit.com/20-to-20a-acs712-current-sensor,55.0,55.0,Hall-effect current sensor (100 mV/A) on the AC output.
U8-U9,2,MCP3201 12-bit SPI ADC,DIP-8,MCP3201,Direnc.net,MCP3201,https://www.direnc.net/mcp3201-dip8-analog-dijital-cevirici-entegre,81.0,162.0,"Isolated bus ADC + current ADC. Two per module (DC bus + bridge current share an isolated MISO on PC3)."
U10-U12,3,6N137 high-speed optocoupler,DIP-8,6N137,Motorobit,6N137,https://www.motorobit.com/6n137-dip-8-digital-output-optocoupler-ic,12.0,36.0,"SPI isolation: SCK + CS + MISO per island. The 6N137 inverts — firmware compensates via SPIINV."
U13,1,78L05 5V linear regulator,TO-92,78L05,Motorobit,78L05,https://www.motorobit.com/78l05-voltaj-regulatoru-to92,3.0,3.0,Island-side logic supply (15 V → 5 V).
